sitename,cluster,ce_opt,stress_type
US-Var,cDD,38.54709243774414,baseline
US-Ton,cDD,25.921842575073242,baseline
US-SRM,cDD,29.078157424926758,baseline
AU-Stp,cDD,22.31462860107422,baseline
US-SRG,cDD,43.05611038208008,baseline
FR-Pue,cGR,33.58717346191406,baseline
AU-How,cGR,23.30661392211914,baseline
IT-Cpz,cGR,18.61723518371582,baseline
IT-Ro1,cGR,38.18637466430664,baseline
AU-DaS,cGR,33.85771560668945,baseline
AU-Dry,cGR,29.1683349609375,baseline
NL-Loo,cLS,21.77354621887207,baseline
US-MMS,cLS,17.535070419311523,baseline
US-UMB,cLS,12.665329933166504,baseline
DE-Hai,cLS,19.879758834838867,baseline
RU-Fyo,cLS,14.919839859008789,baseline
US-Ha1,cNA,16.18236541748047,baseline
BE-Vie,cNA,18.436872482299805,baseline
DE-Tha,cNA,11.042083740234375,baseline
FI-Hyy,cNA,13.476953506469727,baseline
CH-Lae,cNA,15.460921287536621,baseline
US-Var,cDD,38.54709243774414,default
US-Ton,cDD,25.921842575073242,default
US-SRM,cDD,29.078157424926758,default
AU-Stp,cDD,22.31462860107422,default
US-SRG,cDD,43.05611038208008,default
FR-Pue,cGR,33.58717346191406,default
AU-How,cGR,23.30661392211914,default
IT-Cpz,cGR,18.61723518371582,default
IT-Ro1,cGR,38.18637466430664,default
AU-DaS,cGR,33.85771560668945,default
AU-Dry,cGR,29.1683349609375,default
NL-Loo,cLS,21.77354621887207,default
US-MMS,cLS,17.535070419311523,default
US-UMB,cLS,12.665329933166504,default
DE-Hai,cLS,19.879758834838867,default
RU-Fyo,cLS,14.919839859008789,default
US-Ha1,cNA,16.18236541748047,default
BE-Vie,cNA,18.436872482299805,default
DE-Tha,cNA,11.042083740234375,default
FI-Hyy,cNA,13.476953506469727,default
CH-Lae,cNA,15.460921287536621,default
US-Var,cDD,38.54709243774414,nn_paw
US-Ton,cDD,25.921842575073242,nn_paw
US-SRM,cDD,29.078157424926758,nn_paw
AU-Stp,cDD,22.31462860107422,nn_paw
US-SRG,cDD,43.05611038208008,nn_paw
FR-Pue,cGR,33.58717346191406,nn_paw
AU-How,cGR,23.30661392211914,nn_paw
IT-Cpz,cGR,18.61723518371582,nn_paw
IT-Ro1,cGR,38.18637466430664,nn_paw
AU-DaS,cGR,33.85771560668945,nn_paw
AU-Dry,cGR,29.1683349609375,nn_paw
NL-Loo,cLS,21.77354621887207,nn_paw
US-MMS,cLS,17.535070419311523,nn_paw
US-UMB,cLS,12.665329933166504,nn_paw
DE-Hai,cLS,19.879758834838867,nn_paw
RU-Fyo,cLS,14.919839859008789,nn_paw
US-Ha1,cNA,16.18236541748047,nn_paw
BE-Vie,cNA,18.436872482299805,nn_paw
DE-Tha,cNA,11.042083740234375,nn_paw
FI-Hyy,cNA,13.476953506469727,nn_paw
CH-Lae,cNA,15.460921287536621,nn_paw
US-Var,cDD,38.54709243774414,nn_whole_no_lai
US-Ton,cDD,25.921842575073242,nn_whole_no_lai
US-SRM,cDD,29.078157424926758,nn_whole_no_lai
AU-Stp,cDD,22.31462860107422,nn_whole_no_lai
US-SRG,cDD,43.05611038208008,nn_whole_no_lai
FR-Pue,cGR,33.58717346191406,nn_whole_no_lai
AU-How,cGR,23.30661392211914,nn_whole_no_lai
IT-Cpz,cGR,18.61723518371582,nn_whole_no_lai
IT-Ro1,cGR,38.18637466430664,nn_whole_no_lai
AU-DaS,cGR,33.85771560668945,nn_whole_no_lai
AU-Dry,cGR,29.1683349609375,nn_whole_no_lai
NL-Loo,cLS,21.77354621887207,nn_whole_no_lai
US-MMS,cLS,17.535070419311523,nn_whole_no_lai
US-UMB,cLS,12.665329933166504,nn_whole_no_lai
DE-Hai,cLS,19.879758834838867,nn_whole_no_lai
RU-Fyo,cLS,14.919839859008789,nn_whole_no_lai
US-Ha1,cNA,16.18236541748047,nn_whole_no_lai
BE-Vie,cNA,18.436872482299805,nn_whole_no_lai
DE-Tha,cNA,11.042083740234375,nn_whole_no_lai
FI-Hyy,cNA,13.476953506469727,nn_whole_no_lai
CH-Lae,cNA,15.460921287536621,nn_whole_no_lai
US-Var,cDD,38.54709243774414,nn_whole
US-Ton,cDD,25.921842575073242,nn_whole
US-SRM,cDD,29.078157424926758,nn_whole
AU-Stp,cDD,22.31462860107422,nn_whole
US-SRG,cDD,43.05611038208008,nn_whole
FR-Pue,cGR,33.58717346191406,nn_whole
AU-How,cGR,23.30661392211914,nn_whole
IT-Cpz,cGR,18.61723518371582,nn_whole
IT-Ro1,cGR,38.18637466430664,nn_whole
AU-DaS,cGR,33.85771560668945,nn_whole
AU-Dry,cGR,29.1683349609375,nn_whole
NL-Loo,cLS,21.77354621887207,nn_whole
US-MMS,cLS,17.535070419311523,nn_whole
US-UMB,cLS,12.665329933166504,nn_whole
DE-Hai,cLS,19.879758834838867,nn_whole
RU-Fyo,cLS,14.919839859008789,nn_whole
US-Ha1,cNA,16.18236541748047,nn_whole
BE-Vie,cNA,18.436872482299805,nn_whole
DE-Tha,cNA,11.042083740234375,nn_whole
FI-Hyy,cNA,13.476953506469727,nn_whole
CH-Lae,cNA,15.460921287536621,nn_whole
US-Var,cDD,38.54709243774414,gpp_acm_et_nn
US-Ton,cDD,25.921842575073242,gpp_acm_et_nn
US-SRM,cDD,29.078157424926758,gpp_acm_et_nn
AU-Stp,cDD,22.31462860107422,gpp_acm_et_nn
US-SRG,cDD,43.05611038208008,gpp_acm_et_nn
FR-Pue,cGR,33.58717346191406,gpp_acm_et_nn
AU-How,cGR,23.30661392211914,gpp_acm_et_nn
IT-Cpz,cGR,18.61723518371582,gpp_acm_et_nn
IT-Ro1,cGR,38.18637466430664,gpp_acm_et_nn
AU-DaS,cGR,33.85771560668945,gpp_acm_et_nn
AU-Dry,cGR,29.1683349609375,gpp_acm_et_nn
NL-Loo,cLS,21.77354621887207,gpp_acm_et_nn
US-MMS,cLS,17.535070419311523,gpp_acm_et_nn
US-UMB,cLS,12.665329933166504,gpp_acm_et_nn
DE-Hai,cLS,19.879758834838867,gpp_acm_et_nn
RU-Fyo,cLS,14.919839859008789,gpp_acm_et_nn
US-Ha1,cNA,16.18236541748047,gpp_acm_et_nn
BE-Vie,cNA,18.436872482299805,gpp_acm_et_nn
DE-Tha,cNA,11.042083740234375,gpp_acm_et_nn
FI-Hyy,cNA,13.476953506469727,gpp_acm_et_nn
CH-Lae,cNA,15.460921287536621,gpp_acm_et_nn
